State,LifeExpectancy,DiseaseBurden,SocialRisk,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Hawaii,80.0,14.4,17.5,32.8618890356671,13.3906208718626,18.5836856010568,12.4889696169089,6.70997357992074,8.23487450462351,30.4452443857332
Massachusetts,79.8,16.1,17.0,35.0545708434184,15.972928691119,13.9796499720722,12.7590579035561,8.28603611990318,8.33219139824986,24.706199962763
"New Jersey",79.6,14.9,15.8,33.4977375565611,8.71748545572075,14.9183473389356,13.1852079293256,7.49109028226675,7.81611721611722,24.645173453997
"New York",79.5,16.2,16.2,33.1947297297297,12.7676576576577,14.3732882882883,13.2238851351351,7.97501126126126,8.02346846846847,24.1118693693694
Connecticut,79.4,15.8,17.0,34.0186825352892,12.394298367008,15.7126764461666,13.6394685856629,9.12097979518406,8.79064489344035,25.5901190146693
California,79.3,15.5,18.8,35.861026390284,16.4715094511917,18.4227924390467,15.594164916446,8.18675920007305,9.8359510546982,27.1846224089124
Minnesota,79.3,16.0,14.0,31.6509684684685,8.46421171171171,12.0966441441441,10.0588963963964,6.29826576576577,7.49869369369369,22.0918918918919
"Rhode Island",79.2,16.4,17.1,35.9409881061299,13.8607502287283,15.9273559011894,14.2393412625801,8.70722781335773,8.32095150960659,22.696340347667
Utah,79.0,16.5,13.6,32.4604419545596,6.59228135698724,12.1793339558045,10.0309368191721,6.86523498288204,6.91646436352319,20.0591036414566
"New Hampshire",78.7,15.8,13.2,32.0093705293276,6.90565092989986,10.0898426323319,9.01738197424893,6.01108726752504,6.05836909871245,22.4806151645207
Colorado,78.5,14.8,,,,,,,,
Idaho,78.4,16.5,15.4,30.2452823315118,10.9924225865209,15.8308196721311,12.9084153005464,8.18225865209472,8.77111111111111,20.9353369763206
Washington,78.4,16.7,,,,,,,,
Nebraska,78.3,16.1,13.4,30.0292152704136,8.4981230116649,11.8255567338282,9.49864262990456,6.62302226935313,6.64755037115589,20.4959066808059
Vermont,78.3,15.6,,,,,,,,
