"RiskFactor","Correlation","P_value"
"LONELINESS",-0.408,0.00904121022438688
"FOODSTAMP",-0.434,0.00511087507108012
"FOODINSECU",-0.581,8.35493444311769e-05
"HOUSINSECU",-0.548,0.000255357543991195
"SHUTUTILITY",-0.812,1.96042113732858e-10
"LACKTRPT",-0.652,5.25846829295969e-06
"EMOTIONSPT",-0.267,0.0961985236849295
