State,LifeExpectancy,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE
Hawaii,80.0,19.4236459709379,27.2208058124174,5.2387714663144,9.99398943196829,4.87899603698811,4.5002642007926,16.8068031704095,10.35,29.9351387054161,26.50964332893,3.02384412153236
Massachusetts,79.8,22.6275926270713,28.5975051200894,7.13874511264197,11.841388940607,5.03800037237014,5.4306832991994,24.5276857196053,8.83600819214299,31.1669335319307,29.106293055297,2.67209085831316
"New Jersey",79.6,19.0283451842275,29.2780650721827,6.12634130575307,8.92814048696402,4.65023701788408,4.43777203188968,15.6503770739065,9.41636500754148,34.5854557207498,28.7962077138548,2.63580047403577
"New York",79.5,22.855777027027,29.5463738738739,7.15052927927928,10.8335472972973,5.14689189189189,5.65623873873874,20.4990540540541,9.13561936936937,31.7008671171171,32.4245157657658,2.77768018018018
Connecticut,79.4,21.1539164129532,28.3239413230003,7.01508441738168,11.0268751729864,4.7354276224744,4.823332410739,21.275698865209,8.64314973706061,33.4441738167728,30.7140049820094,2.69327428729588
California,79.3,19.755657017624,28.9047027668706,6.05883480960643,9.73229842023559,5.27257784677198,5.10556113596932,21.73162268286,10.5042735823213,31.1737923477308,29.033777737193,2.93585973883664
Minnesota,79.3,19.9343468468468,28.0744369369369,7.17436936936937,10.0400900900901,5.0481981981982,4.85731981981982,24.9223423423423,9.09416666666667,28.9663513513514,35.4323423423423,2.68970720720721
"Rhode Island",79.2,21.9491308325709,30.3232387923147,6.88783165599268,11.9344007319305,5.22543458371455,5.70841720036597,23.8881061299177,9.69432753888381,29.8494967978042,32.0781335773102,2.72863677950595
Utah,79.0,23.1848117024588,28.8513227513228,7.63635231870526,10.6979458450047,5.21668222844693,5.14466230936819,26.6479925303455,9.05701836290072,29.3252100840336,32.5675381263617,2.77939620292561
"New Hampshire",78.7,22.7583690987124,28.1779685264664,7.6722460658083,10.552861230329,4.67668097281831,5.14113018597997,23.7324749642346,7.60844062947067,29.6536480686695,31.7238912732475,2.48690987124463
Colorado,78.5,21.4962657091562,25.5115978456014,7.35959305804907,10.8353201675643,4.72162776780371,4.79820466786355,22.9882226211849,7.78104129263914,28.6838898862956,25.8163375224417,2.50718132854578
Idaho,78.4,23.7451001821494,29.49970856102,6.90247723132969,10.6931511839709,5.63016393442623,6.16528233151184,23.5189435336976,9.7616393442623,29.1071402550091,33.7122404371585,3.02699453551913
Washington,78.4,23.3158218682114,29.0671976828385,7.13325488776249,11.1741853729182,5.02358797972484,5.08750905141202,26.3241491672701,9.16602099927589,30.8305394641564,34.1363504706734,2.78044895003621
Nebraska,78.3,21.744506892895,29.8863308589608,7.32682926829268,9.25747613997879,5.32186638388123,5.61728525980912,18.568854718982,9.19235418875928,28.6527465535525,38.4769459172853,2.74273594909862
Vermont,78.3,22.8719188767551,26.5580343213729,7.67223088923557,11.2195007800312,4.81388455538221,5.34414976599064,27.8375975039002,7.01216848673947,26.69375975039,28.8678627145086,2.61107644305772
