State,Disease,Prevalence
Montana,CHD,5.45470658682635
Texas,CHD,5.54692702334834
Wyoming,CHD,5.31912280701754
Michigan,CHD,5.67758348860542
Arizona,CHD,5.76421761076837
Maine,CHD,5.57829848594088
"District of Columbia",CHD,4.1
Delaware,CHD,5.24495145631068
Kansas,CHD,5.46977146814404
Nevada,CHD,6.16845088161209
Georgia,CHD,5.53320838820788
"North Carolina",CHD,5.74909845788849
Alaska,CHD,5.98960923623446
Ohio,CHD,5.90092542188351
Indiana,CHD,5.77713405690818
Missouri,CHD,5.61717501223291
"South Carolina",CHD,5.47712577088395
"New Mexico",CHD,6.04257352941176
Arkansas,CHD,6.36866754617414
Oklahoma,CHD,6.35222803086881
Tennessee,CHD,5.89505789325049
Alabama,CHD,6.0437808003154
Louisiana,CHD,6.37802730074857
Mississippi,CHD,6.26528783178214
"West Virginia",CHD,6.6706995412844
Hawaii,DIABETES,10.35
Massachusetts,DIABETES,8.83600819214299
"New Jersey",DIABETES,9.41636500754148
"New York",DIABETES,9.13561936936937
Connecticut,DIABETES,8.64314973706061
California,DIABETES,10.5042735823213
Minnesota,DIABETES,9.09416666666667
"Rhode Island",DIABETES,9.69432753888381
Utah,DIABETES,9.05701836290072
"New Hampshire",DIABETES,7.60844062947067
Colorado,DIABETES,7.78104129263914
Idaho,DIABETES,9.7616393442623
Washington,DIABETES,9.16602099927589
Nebraska,DIABETES,9.19235418875928
Vermont,DIABETES,7.01216848673947
Wisconsin,DIABETES,9.66048689138577
"North Dakota",DIABETES,9.21123517096999
Iowa,DIABETES,9.69432826362484
Florida,DIABETES,10.5175604626709
Maryland,DIABETES,11.2132681017613
Oregon,DIABETES,9.60268090154211
Illinois,DIABETES,9.86693635382956
Virginia,DIABETES,11.2264846870839
"South Dakota",DIABETES,10.1356282271945
Montana,DIABETES,8.5974371257485
Texas,DIABETES,12.2085802533766
Wyoming,DIABETES,9.30368421052632
Michigan,DIABETES,9.81708470689408
Arizona,DIABETES,10.7688726864835
Maine,DIABETES,8.77829848594088
"District of Columbia",DIABETES,8.5
Delaware,DIABETES,10.7821359223301
Kansas,DIABETES,10.1301246537396
Nevada,DIABETES,10.5775188916877
Georgia,DIABETES,12.2822814304528
